,CODE_IRIS,area
197,605450000,25156521.903965164
198,146010000,20375317.048394814
199,770680000,11917460.22121868
200,492670101,9041101.745162418
201,353430000,57038027.04257012
202,661360201,703752.8952050545
203,504740000,47480169.085283756
204,802310000,14163108.827512745
205,683340103,7295521.904268791
206,870851101,974471.2908484784
207,605620000,41427073.71070576
208,930500112,1865870.9790401685
209,315570107,5777886.756471275
210,191530000,19292763.486224066
211,514220000,8336917.099957113
212,130260102,24620503.565216117
213,214130000,45619105.436693825
214,290850000,2933317.180493093
215,372370000,10509248.33690117
216,504730000,20939117.77143907
217,490070704,771886.7813841713
218,141060000,11284679.029549537
219,561070103,5282134.148115493
220,385330000,8546689.529587733
221,810370000,45097309.43897843
222,432280000,23594565.9863537
223,911140105,1379762.1257287662
224,950180304,1163233.6663756538
225,041700000,35888592.37363715
